il,ilce,skor,Kademe
Aydın,Yenipazar,-0.296,4. Kademe
İzmir,Kınık,-0.297,4. Kademe
Kütahya,Emet,-0.299,4. Kademe
Isparta,Atabey,-0.299,4. Kademe
Manisa,Sarıgöl,-0.3,4. Kademe
Bilecik,Pazaryeri,-0.301,4. Kademe
Erzincan,İliç,-0.301,4. Kademe
Osmaniye,Bahçe,-0.302,4. Kademe
Muş,Merkez,-0.303,4. Kademe
Balıkesir,Manyas,-0.303,4. Kademe
Tunceli,Hozat,-0.304,4. Kademe
İzmir,Bayındır,-0.304,4. Kademe
Aydın,Köşk,-0.306,4. Kademe
Kahramanmaraş,Afşin,-0.307,4. Kademe
Eskişehir,Seyitgazi,-0.31,4. Kademe
Denizli,Bozkurt,-0.311,4. Kademe
Niğde,Ulukışla,-0.314,4. Kademe
Kastamonu,Taşköprü,-0.319,4. Kademe
Kayseri,Özvatan,-0.325,4. Kademe
Burdur,Tefenni,-0.325,4. Kademe
Afyonkarahisar,Çay,-0.328,4. Kademe
Samsun,Kavak,-0.331,4. Kademe
Şırnak,Merkez,-0.333,4. Kademe
Burdur,Yeşilova,-0.336,4. Kademe
Çorum,Alaca,-0.339,4. Kademe
Trabzon,Çarşıbaşı,-0.34,4. Kademe
Muğla,Kavaklıdere,-0.34,4. Kademe
Giresun,Eynesil,-0.35,4. Kademe
Sakarya,Kaynarca,-0.351,4. Kademe
Eskişehir,Mahmudiye,-0.351,4. Kademe
Edirne,Lalapaşa,-0.351,4. Kademe
Yozgat,Yenifakılı,-0.352,4. Kademe
Bursa,Orhaneli,-0.354,4. Kademe
Ankara,Kalecik,-0.359,4. Kademe
Mardin,Midyat,-0.36,4. Kademe
Yozgat,Şefaatli,-0.362,4. Kademe
Manisa,Gördes,-0.362,4. Kademe
Gümüşhane,Torul,-0.368,4. Kademe
Afyonkarahisar,Sultandağı,-0.368,4. Kademe
Rize,Derepazarı,-0.37,4. Kademe
Gaziantep,İslahiye,-0.37,4. Kademe
Bursa,Harmancık,-0.372,4. Kademe
Trabzon,Dernekpazarı,-0.374,4. Kademe
Tunceli,Ovacık,-0.375,4. Kademe
Van,Edremit,-0.377,4. Kademe
Kayseri,Bünyan,-0.379,4. Kademe
Denizli,Kale,-0.379,4. Kademe
Erzurum,İspir,-0.381,4. Kademe
Karabük,Eskipazar,-0.383,4. Kademe
Nevşehir,Gülşehir,-0.385,4. Kademe
Hakkari,Çukurca,-0.386,4. Kademe
Konya,Sarayönü,-0.386,4. Kademe
Isparta,Senirkent,-0.387,4. Kademe
Kırklareli,Pehlivanköy,-0.387,4. Kademe
Kahramanmaraş,Pazarcık,-0.388,4. Kademe
Gaziantep,Oğuzeli,-0.389,4. Kademe
Erzincan,Refahiye,-0.391,4. Kademe
Bursa,Keles,-0.392,4. Kademe
Afyonkarahisar,İscehisar,-0.392,4. Kademe
Malatya,Arapgir,-0.393,4. Kademe
Yozgat,Akdağmadeni,-0.393,4. Kademe
Kayseri,Yahyalı,-0.395,4. Kademe
Mardin,Nusaybin,-0.395,4. Kademe
Yozgat,Çayıralan,-0.398,4. Kademe
Sivas,Zara,-0.4,4. Kademe
Eskişehir,Alpu,-0.401,4. Kademe
Çanakkale,Yenice,-0.404,4. Kademe
Artvin,Şavşat,-0.405,4. Kademe
Edirne,İpsala,-0.408,4. Kademe
Yozgat,Sarıkaya,-0.411,4. Kademe
Manisa,Köprübaşı,-0.412,4. Kademe
Elazığ,Keban,-0.416,4. Kademe
Kastamonu,Devrekani,-0.416,4. Kademe
Samsun,Alaçam,-0.417,4. Kademe
Ordu,Perşembe,-0.418,4. Kademe
Isparta,Yenişarbademli,-0.421,4. Kademe
Aydın,Karacasu,-0.422,4. Kademe
Kırıkkale,Karakeçili,-0.423,4. Kademe
Eskişehir,Beylikova,-0.424,4. Kademe
Bolu,Seben,-0.425,4. Kademe
Balıkesir,Savaştepe,-0.426,4. Kademe
Tunceli,Çemişgezek,-0.427,4. Kademe
Afyonkarahisar,Başmakçı,-0.427,4. Kademe
Kastamonu,Hanönü,-0.427,4. Kademe
Elazığ,Kovancılar,-0.428,4. Kademe
Gümüşhane,Kelkit,-0.429,4. Kademe
Malatya,Darende,-0.43,4. Kademe
Bilecik,İnhisar,-0.43,4. Kademe
Denizli,Babadağ,-0.43,4. Kademe
Artvin,Kemalpaşa,-0.432,4. Kademe
Uşak,Sivaslı,-0.434,4. Kademe
Adana,İmamoğlu,-0.434,4. Kademe
Sakarya,Taraklı,-0.437,4. Kademe
Bolu,Göynük,-0.441,4. Kademe
Adıyaman,Besni,-0.444,4. Kademe
Bilecik,Gölpazarı,-0.446,4. Kademe
Burdur,Çavdır,-0.448,4. Kademe
Adana,Yumurtalık,-0.448,4. Kademe
Karabük,Yenice,-0.448,4. Kademe
Kastamonu,Çatalzeytin,-0.448,4. Kademe
Gaziantep,Nurdağı,-0.45,4. Kademe
Bingöl,Yayladere,-0.451,4. Kademe
Kastamonu,Daday,-0.451,4. Kademe
Eskişehir,Mihalgazi,-0.452,4. Kademe
Kastamonu,Azdavay,-0.453,4. Kademe
Sakarya,Karapürçek,-0.453,4. Kademe
Rize,Kalkandere,-0.453,4. Kademe
Artvin,Ardanuç,-0.454,4. Kademe
Balıkesir,Dursunbey,-0.456,4. Kademe
Denizli,Güney,-0.457,4. Kademe
Bolu,Mudurnu,-0.461,4. Kademe
Ordu,Aybastı,-0.464,4. Kademe
Tunceli,Pertek,-0.465,4. Kademe
Trabzon,Tonya,-0.469,4. Kademe
Balıkesir,Havran,-0.471,4. Kademe
Düzce,Gölyaka,-0.472,4. Kademe
Sivas,Kangal,-0.472,4. Kademe
Sivas,Gürün,-0.475,4. Kademe
Şırnak,Cizre,-0.475,4. Kademe
Burdur,Ağlasun,-0.476,4. Kademe
Kahramanmaraş,Türkoğlu,-0.477,4. Kademe
Hakkari,Yüksekova,-0.477,4. Kademe
Balıkesir,Sındırgı,-0.477,4. Kademe
Sivas,Gemerek,-0.478,4. Kademe
Ankara,Evren,-0.478,4. Kademe
Kırıkkale,Keskin,-0.48,4. Kademe
İzmir,Beydağ,-0.481,4. Kademe
Trabzon,Köprübaşı,-0.482,4. Kademe
Balıkesir,İvrindi,-0.483,4. Kademe
Elazığ,Karakoçan,-0.483,4. Kademe
Kütahya,Domaniç,-0.483,4. Kademe
Afyonkarahisar,Şuhut,-0.488,4. Kademe
Kastamonu,İhsangazi,-0.49,4. Kademe
Amasya,Taşova,-0.49,4. Kademe
Aksaray,Sarıyahşi,-0.491,4. Kademe
Çorum,İskilip,-0.492,4. Kademe
Tunceli,Pülümür,-0.492,4. Kademe
Ardahan,Posof,-0.492,4. Kademe
Ankara,Güdül,-0.493,4. Kademe
Rize,İkizdere,-0.5,5. Kademe
Bilecik,Yenipazar,-0.501,5. Kademe
Kahramanmaraş,Göksun,-0.502,5. Kademe
Kastamonu,Ağlı,-0.503,5. Kademe
Muğla,Seydikemer,-0.505,5. Kademe
Mersin,Çamlıyayla,-0.505,5. Kademe
Konya,Hüyük,-0.506,5. Kademe
Erzincan,Otlukbeli,-0.508,5. Kademe
Çorum,Dodurga,-0.511,5. Kademe
Sivas,Akıncılar,-0.511,5. Kademe
Kayseri,Pınarbaşı,-0.512,5. Kademe
Adıyaman,Kahta,-0.512,5. Kademe
Kütahya,Hisarcık,-0.514,5. Kademe
Aydın,Bozdoğan,-0.514,5. Kademe
Malatya,Akçadağ,-0.514,5. Kademe
Gümüşhane,Şiran,-0.515,5. Kademe
Kütahya,Şaphane,-0.516,5. Kademe
Kütahya,Altıntaş,-0.516,5. Kademe
Bingöl,Kiğı,-0.517,5. Kademe
Çankırı,Atkaracalar,-0.518,5. Kademe
Adana,Tufanbeyli,-0.521,5. Kademe
Afyonkarahisar,Evciler,-0.525,5. Kademe
Eskişehir,Sarıcakaya,-0.525,5. Kademe
Ankara,Çamlıdere,-0.526,5. Kademe
Konya,Kadınhanı,-0.526,5. Kademe
Kırıkkale,Balışeyh,-0.527,5. Kademe
Erzincan,Tercan,-0.527,5. Kademe
Trabzon,Şalpazarı,-0.527,5. Kademe
Manisa,Selendi,-0.528,5. Kademe
Burdur,Çeltikçi,-0.528,5. Kademe
Karaman,Başyayla,-0.528,5. Kademe
Aydın,Koçarlı,-0.531,5. Kademe
Denizli,Baklan,-0.532,5. Kademe
Kastamonu,Cide,-0.533,5. Kademe
Balıkesir,Kepsut,-0.536,5. Kademe
Samsun,Vezirköprü,-0.537,5. Kademe
Samsun,Yakakent,-0.538,5. Kademe
Hatay,Reyhanlı,-0.54,5. Kademe
Giresun,Alucra,-0.54,5. Kademe
Eskişehir,Günyüzü,-0.541,5. Kademe
Denizli,Çameli,-0.542,5. Kademe
Aksaray,Eskil,-0.542,5. Kademe
Manisa,Gölmarmara,-0.543,5. Kademe
Erzincan,Çayırlı,-0.543,5. Kademe
Konya,Çeltik,-0.544,5. Kademe
Adana,Karaisalı,-0.546,5. Kademe
Burdur,Kemer,-0.549,5. Kademe
Kayseri,Felahiye,-0.552,5. Kademe
Eskişehir,Mihalıççık,-0.552,5. Kademe
Konya,Yunak,-0.559,5. Kademe
Erzurum,Uzundere,-0.561,5. Kademe
Kütahya,Çavdarhisar,-0.562,5. Kademe
Aksaray,Ağaçören,-0.563,5. Kademe
Adana,Karataş,-0.564,5. Kademe
Kastamonu,Küre,-0.564,5. Kademe
Kastamonu,Araç,-0.565,5. Kademe
Kırıkkale,Delice,-0.567,5. Kademe
Şanlıurfa,Eyyübiye,-0.568,5. Kademe
Denizli,Beyağaç,-0.57,5. Kademe
Diyarbakır,Ergani,-0.572,5. Kademe
Çankırı,Eldivan,-0.573,5. Kademe
Konya,Bozkır,-0.574,5. Kademe
Bartın,Ulus,-0.576,5. Kademe
Giresun,Yağlıdere,-0.576,5. Kademe
Ankara,Haymana,-0.578,5. Kademe
Erzurum,Aşkale,-0.578,5. Kademe
Osmaniye,Hasanbeyli,-0.58,5. Kademe
Tunceli,Mazgirt,-0.58,5. Kademe
Tokat,Artova,-0.583,5. Kademe
Çorum,Kargı,-0.583,5. Kademe
Kırşehir,Boztepe,-0.584,5. Kademe
Sinop,Erfelek,-0.585,5. Kademe
Yozgat,Saraykent,-0.587,5. Kademe
Sivas,İmranlı,-0.587,5. Kademe
Malatya,Doğanşehir,-0.59,5. Kademe
Erzurum,Tortum,-0.592,5. Kademe
Kütahya,Pazarlar,-0.592,5. Kademe
Elazığ,Maden,-0.592,5. Kademe
Afyonkarahisar,İhsaniye,-0.592,5. Kademe
Giresun,Doğankent,-0.593,5. Kademe
Sivas,Gölova,-0.594,5. Kademe
Sivas,Ulaş,-0.595,5. Kademe
Kırşehir,Akpınar,-0.596,5. Kademe
Bayburt,Aydıntepe,-0.598,5. Kademe
İzmir,Kiraz,-0.599,5. Kademe
Balıkesir,Balya,-0.6,5. Kademe
Çorum,Boğazkale,-0.604,5. Kademe
Erzincan,Kemah,-0.604,5. Kademe
Çankırı,Korgun,-0.606,5. Kademe
Ordu,Kumru,-0.606,5. Kademe
Malatya,Hekimhan,-0.606,5. Kademe
Kırıkkale,Çelebi,-0.608,5. Kademe
Uşak,Karahallı,-0.609,5. Kademe
Ordu,Gölköy,-0.61,5. Kademe
Ankara,Bala,-0.611,5. Kademe
Erzurum,Pazaryolu,-0.612,5. Kademe
Kayseri,Sarıoğlan,-0.613,5. Kademe
Nevşehir,Derinkuyu,-0.615,5. Kademe
Konya,Doğanhisar,-0.616,5. Kademe
Trabzon,Düzköy,-0.616,5. Kademe
Yozgat,Çekerek,-0.619,5. Kademe
Afyonkarahisar,Bayat,-0.62,5. Kademe
Konya,Derebucak,-0.621,5. Kademe
Şırnak,Silopi,-0.621,5. Kademe
Konya,Güneysınır,-0.621,5. Kademe
Elazığ,Ağın,-0.622,5. Kademe
Sivas,Doğanşar,-0.625,5. Kademe
Tokat,Almus,-0.626,5. Kademe
Hatay,Hassa,-0.627,5. Kademe
Afyonkarahisar,Sinanpaşa,-0.627,5. Kademe
Gümüşhane,Köse,-0.629,5. Kademe
Erzincan,Üzümlü,-0.63,5. Kademe
Kastamonu,Pınarbaşı,-0.63,5. Kademe
Adıyaman,Çelikhan,-0.631,5. Kademe
Karaman,Sarıveliler,-0.631,5. Kademe
Hakkari,Şemdinli,-0.633,5. Kademe
Tokat,Pazar,-0.633,5. Kademe
Giresun,Çanakçı,-0.637,5. Kademe
Erzurum,Olur,-0.637,5. Kademe
Afyonkarahisar,Kızılören,-0.64,5. Kademe
Konya,Altınekin,-0.641,5. Kademe
Isparta,Gelendost,-0.641,5. Kademe
Bingöl,Genç,-0.646,5. Kademe
Ağrı,Doğubayazıt,-0.647,5. Kademe
Elazığ,Sivrice,-0.647,5. Kademe
Bolu,Kıbrıscık,-0.655,5. Kademe
Tokat,Reşadiye,-0.657,5. Kademe
Karabük,Eflani,-0.658,5. Kademe
Şanlıurfa,Birecik,-0.66,5. Kademe
Kahramanmaraş,Nurhak,-0.661,5. Kademe
Burdur,Altınyayla,-0.663,5. Kademe
Sivas,Altınyayla,-0.664,5. Kademe
Amasya,Hamamözü,-0.665,5. Kademe
Aksaray,Sultanhanı,-0.667,5. Kademe
Kayseri,Sarız,-0.67,5. Kademe
Konya,Akören,-0.672,5. Kademe
Kayseri,Tomarza,-0.674,5. Kademe
Trabzon,Hayrat,-0.676,5. Kademe
Kırklareli,Kofçaz,-0.677,5. Kademe
Isparta,Aksu,-0.679,5. Kademe
Konya,Hadim,-0.681,5. Kademe
Konya,Yalıhüyük,-0.682,5. Kademe
Karaman,Ayrancı,-0.683,5. Kademe
Konya,Tuzlukçu,-0.686,5. Kademe
Sinop,Durağan,-0.687,5. Kademe
Eskişehir,Han,-0.687,5. Kademe
Aksaray,Gülağaç,-0.688,5. Kademe
Aydın,Karpuzlu,-0.693,5. Kademe
Malatya,Yazıhan,-0.696,5. Kademe
Çorum,Ortaköy,-0.697,5. Kademe
Batman,Hasankeyf,-0.697,5. Kademe
Kırşehir,Çiçekdağı,-0.697,5. Kademe
Çankırı,Orta,-0.699,5. Kademe
Ordu,Korgan,-0.704,5. Kademe
Gümüşhane,Kürtün,-0.705,5. Kademe
Bitlis,Ahlat,-0.706,5. Kademe
Konya,Taşkent,-0.71,5. Kademe
Elazığ,Baskil,-0.714,5. Kademe
Çankırı,Kızılırmak,-0.715,5. Kademe
Van,Erciş,-0.715,5. Kademe
Malatya,Kale,-0.717,5. Kademe
Kahramanmaraş,Andırın,-0.718,5. Kademe
Çorum,Mecitözü,-0.719,5. Kademe
Şırnak,Beytüşşebap,-0.723,5. Kademe
Bayburt,Demirözü,-0.724,5. Kademe
Diyarbakır,Bismil,-0.727,5. Kademe
Tokat,Yeşilyurt,-0.729,5. Kademe
Elazığ,Alacakaya,-0.729,5. Kademe
Bingöl,Solhan,-0.73,5. Kademe
Samsun,Salıpazarı,-0.73,5. Kademe
Ordu,Ulubey,-0.73,5. Kademe
Bartın,Kurucaşile,-0.732,5. Kademe
Konya,Emirgazi,-0.733,5. Kademe
Niğde,Çamardı,-0.733,5. Kademe
Gaziantep,Araban,-0.736,5. Kademe
Elazığ,Palu,-0.737,5. Kademe
Sivas,Hafik,-0.742,5. Kademe
Tunceli,Nazımiye,-0.744,5. Kademe
Ordu,Kabadüz,-0.744,5. Kademe
Samsun,Asarcık,-0.745,5. Kademe
Nevşehir,Acıgöl,-0.746,5. Kademe
Siirt,Kurtalan,-0.746,5. Kademe
Sivas,Koyulhisar,-0.748,5. Kademe
Sinop,Saraydüzü,-0.751,5. Kademe
Bursa,Büyükorhan,-0.752,5. Kademe
Aksaray,Güzelyurt,-0.755,5. Kademe
Sivas,Yıldızeli,-0.762,5. Kademe
Adana,Aladağ,-0.764,5. Kademe
Konya,Halkapınar,-0.765,5. Kademe
Erzurum,Pasinler,-0.765,5. Kademe
Afyonkarahisar,Hocalar,-0.772,5. Kademe
Ardahan,Çıldır,-0.773,5. Kademe
Ordu,Çamaş,-0.776,5. Kademe
Karabük,Ovacık,-0.776,5. Kademe
Erzurum,Horasan,-0.778,5. Kademe
Kütahya,Aslanapa,-0.782,5. Kademe
Kars,Kağızman,-0.784,5. Kademe
Bolu,Dörtdivan,-0.784,5. Kademe
Samsun,Ayvacık,-0.784,5. Kademe
Çorum,Laçin,-0.789,5. Kademe
Batman,Beşiri,-0.792,5. Kademe
Van,Gevaş,-0.794,5. Kademe
Erzurum,Narman,-0.796,5. Kademe
Şanlıurfa,Siverek,-0.797,5. Kademe
Şanlıurfa,Halfeti,-0.798,5. Kademe
Amasya,Göynücek,-0.798,5. Kademe
Afyonkarahisar,Çobanlar,-0.801,5. Kademe
Şanlıurfa,Viranşehir,-0.803,5. Kademe
Kars,Sarıkamış,-0.804,5. Kademe
Giresun,Güce,-0.805,5. Kademe
Ordu,Kabataş,-0.805,5. Kademe
Edirne,Meriç,-0.806,5. Kademe
Kırıkkale,Sulakyurt,-0.809,5. Kademe
Şırnak,Uludere,-0.81,5. Kademe
Isparta,Sütçüler,-0.811,5. Kademe
Kayseri,Akkışla,-0.812,5. Kademe
Ardahan,Damal,-0.814,5. Kademe
Antalya,Gündoğmuş,-0.815,5. Kademe
Kırşehir,Akçakent,-0.816,5. Kademe
Çorum,Oğuzlar,-0.82,5. Kademe
Giresun,Dereli,-0.824,5. Kademe
Diyarbakır,Silvan,-0.824,5. Kademe
Ardahan,Göle,-0.831,6. Kademe
Bitlis,Adilcevaz,-0.832,6. Kademe
Kars,Akyaka,-0.832,6. Kademe
Kilis,Elbeyli,-0.835,6. Kademe
Şanlıurfa,Ceylanpınar,-0.835,6. Kademe
Çankırı,Bayramören,-0.836,6. Kademe
Gaziantep,Karkamış,-0.837,6. Kademe
Şanlıurfa,Hilvan,-0.84,6. Kademe
Adıyaman,Samsat,-0.84,6. Kademe
Kahramanmaraş,Çağlayancerit,-0.84,6. Kademe
Şırnak,İdil,-0.842,6. Kademe
Ordu,Mesudiye,-0.842,6. Kademe
Muş,Varto,-0.844,6. Kademe
Yozgat,Kadışehri,-0.847,6. Kademe
Iğdır,Aralık,-0.852,6. Kademe
Ordu,Çatalpınar,-0.854,6. Kademe
Mardin,Ömerli,-0.858,6. Kademe
Kastamonu,Şenpazar,-0.859,6. Kademe
Ordu,Gürgentepe,-0.859,6. Kademe
Hatay,Yayladağı,-0.863,6. Kademe
Mardin,Dargeçit,-0.866,6. Kademe
Çorum,Bayat,-0.868,6. Kademe
Malatya,Kuluncak,-0.873,6. Kademe
Malatya,Arguvan,-0.877,6. Kademe
Düzce,Yığılca,-0.88,6. Kademe
Batman,Kozluk,-0.885,6. Kademe
Diyarbakır,Çermik,-0.887,6. Kademe
Çankırı,Yapraklı,-0.893,6. Kademe
Konya,Ahırlı,-0.907,6. Kademe
Erzurum,Hınıs,-0.909,6. Kademe
Şanlıurfa,Suruç,-0.91,6. Kademe
Tokat,Sulusaray,-0.911,6. Kademe
Kahramanmaraş,Ekinözü,-0.92,6. Kademe
Giresun,Çamoluk,-0.92,6. Kademe
Çorum,Uğurludağ,-0.923,6. Kademe
Ardahan,Hanak,-0.926,6. Kademe
Yozgat,Aydıncık,-0.928,6. Kademe
Ordu,Çaybaşı,-0.932,6. Kademe
Konya,Derbent,-0.936,6. Kademe
Tokat,Başçiftlik,-0.936,6. Kademe
Mardin,Yeşilli,-0.936,6. Kademe
Kars,Arpaçay,-0.943,6. Kademe
Adana,Saimbeyli,-0.946,6. Kademe
Şanlıurfa,Bozova,-0.947,6. Kademe
Hatay,Kumlu,-0.951,6. Kademe
Iğdır,Tuzluca,-0.953,6. Kademe
Adana,Feke,-0.954,6. Kademe
Şırnak,Güçlükonak,-0.959,6. Kademe
Batman,Gercüş,-0.962,6. Kademe
Bingöl,Yedisu,-0.968,6. Kademe
Malatya,Doğanyol,-0.973,6. Kademe
Niğde,Altunhisar,-0.975,6. Kademe
Kars,Selim,-0.977,6. Kademe
Niğde,Çiftlik,-0.977,6. Kademe
Ordu,İkizce,-0.979,6. Kademe
Adıyaman,Tut,-0.979,6. Kademe
Osmaniye,Sumbas,-0.987,6. Kademe
Bitlis,Güroymak,-1.002,6. Kademe
Iğdır,Karakoyunlu,-1.008,6. Kademe
Ordu,Akkuş,-1.012,6. Kademe
Ağrı,Eleşkirt,-1.013,6. Kademe
Sinop,Dikmen,-1.014,6. Kademe
Bingöl,Karlıova,-1.017,6. Kademe
Mardin,Mazıdağı,-1.019,6. Kademe
Diyarbakır,Lice,-1.022,6. Kademe
Muş,Malazgirt,-1.027,6. Kademe
Muş,Hasköy,-1.032,6. Kademe
Muş,Bulanık,-1.036,6. Kademe
Hatay,Altınözü,-1.038,6. Kademe
Gaziantep,Yavuzeli,-1.049,6. Kademe
Ağrı,Patnos,-1.05,6. Kademe
Siirt,Baykan,-1.061,6. Kademe
Batman,Sason,-1.063,6. Kademe
Kars,Susuz,-1.064,6. Kademe
Van,Çatak,-1.064,6. Kademe
Elazığ,Arıcak,-1.07,6. Kademe
Mardin,Derik,-1.085,6. Kademe
Diyarbakır,Çüngüş,-1.092,6. Kademe
Siirt,Tillo,-1.092,6. Kademe
Bingöl,Adaklı,-1.097,6. Kademe
Malatya,Pütürge,-1.097,6. Kademe
Siirt,Eruh,-1.098,6. Kademe
Diyarbakır,Kulp,-1.102,6. Kademe
Bitlis,Hizan,-1.103,6. Kademe
Van,Muradiye,-1.112,6. Kademe
Kastamonu,Doğanyurt,-1.113,6. Kademe
Van,Gürpınar,-1.116,6. Kademe
Erzurum,Şenkaya,-1.119,6. Kademe
Diyarbakır,Dicle,-1.122,6. Kademe
Ağrı,Taşlıçay,-1.124,6. Kademe
Van,Başkale,-1.13,6. Kademe
Erzurum,Çat,-1.131,6. Kademe
Diyarbakır,Kocaköy,-1.131,6. Kademe
Hakkari,Derecik,-1.135,6. Kademe
Ağrı,Diyadin,-1.147,6. Kademe
Kilis,Polateli,-1.155,6. Kademe
Van,Özalp,-1.159,6. Kademe
Kars,Digor,-1.164,6. Kademe
Diyarbakır,Eğil,-1.166,6. Kademe
Erzurum,Karaçoban,-1.172,6. Kademe
Mardin,Savur,-1.187,6. Kademe
Erzurum,Köprüköy,-1.189,6. Kademe
Adıyaman,Sincik,-1.202,6. Kademe
Van,Çaldıran,-1.22,6. Kademe
Muş,Korkut,-1.22,6. Kademe
Van,Saray,-1.237,6. Kademe
Kilis,Musabeyli,-1.243,6. Kademe
Van,Bahçesaray,-1.244,6. Kademe
Ağrı,Tutak,-1.254,6. Kademe
Diyarbakır,Çınar,-1.256,6. Kademe
Bitlis,Mutki,-1.257,6. Kademe
Şanlıurfa,Akçakale,-1.258,6. Kademe
Diyarbakır,Hani,-1.267,6. Kademe
Erzurum,Karayazı,-1.274,6. Kademe
Ağrı,Hamur,-1.275,6. Kademe
Siirt,Şirvan,-1.277,6. Kademe
Erzurum,Tekman,-1.277,6. Kademe
Diyarbakır,Hazro,-1.285,6. Kademe
Adıyaman,Gerger,-1.289,6. Kademe
Siirt,Pervari,-1.345,6. Kademe
Şanlıurfa,Harran,-1.447,6. Kademe
